teks_chat,label_intent
dari cara lu ngeles terus fix lu Hitman,accusing
si A paling mencurigakan dari tadi jawabannya muter terus,accusing
gw curiga sama dia karena selalu ikut vote tanpa kasih alasan,accusing
lu kok langsung nuduh orang lain pas diskusi baru mulai sus,accusing
si B tadi kena Gag Order pas mau jelasin sesuatu fix dia target Hitman,accusing
yang pakai Gag Order barusan pasti Hitman dan gw curiga ke si C,accusing
dia diem terus waktu ditanya soal korban semalam mencurigakan banget,accusing
si D terlalu cepat nuduh gw padahal belum ada bukti fix dia Hitman,accusing
menurut gw si E sengaja bikin keributan biar perhatian pindah dari dia,accusing
lu dari tadi cuma ikut arus vote gw yakin lu Hitman,accusing
si F jawabannya beda sama chat dia sebelumnya sus banget,accusing
gw rasa Hitman ada di antara orang yang maksa vote si B,accusing
dia tiba-tiba aktif setelah ada korban semalam fix mencurigakan,accusing
si G paling sering menghilang pas diskusi dan muncul saat voting,accusing
kok lu langsung tahu target Gag Order sebelum diumumin aneh banget,accusing
gw nuduh si H karena dia selalu membela orang yang mencurigakan,accusing
si I terlalu tenang setelah kejadian malam tadi kayak sudah tahu semuanya,accusing
dia sengaja mengalihkan topik tiap kali ditanya soal aksinya,accusing
lu jangan pura-pura bingung gw lihat pola chat lu dari ronde kemarin,accusing
si J paling mungkin Hitman karena vote-nya selalu aman sendiri,accusing
gw curiga sama lu karena semalam ada korban lalu lu langsung punya alibi,accusing
yang paling keras nyuruh eksekusi orang lain biasanya Hitman tuh,accusing
si K kena Gag Order setelah menuduh lu jadi gw makin yakin sama dugaan ini,accusing
lu bilang gak tahu apa-apa tapi tadi ngasih detail yang cuma Hitman mungkin tahu,accusing
si L dari tadi memancing kita buat vote target yang sama tanpa alasan jelas,accusing
gw rasa dia pakai Gag Order buat nutupin jejaknya sendiri,accusing
si M terlalu cepat membela diri padahal belum ada yang nuduh,accusing
cara lu jawab pendek-pendek banget kayak lagi nyusun alibi,accusing
dia terus ganti pendapat setiap kali ada pemain baru yang ngomong,accusing
si N mencurigakan karena selalu online tapi jarang ikut diskusi,accusing
gw yakin salah satu dari kalian yang maksa skip vote itu Hitman,accusing
lu nuduh gw cuma karena gw beda pendapat fix lu lagi cari kambing hitam,accusing
si O tadi kena Gag Order tepat setelah membongkar pola lu,accusing
dia pura-pura bantu analisis tapi semua kesimpulannya malah bikin warga saling serang,accusing
gw lebih curiga ke si P daripada target yang dia tuduh,accusing
si Q jawabannya terlalu rapi buat ukuran pemain yang katanya bingung,accusing
lu selalu muncul pas situasi mulai panas lalu menghilang lagi sus banget,accusing
si R tadi berubah sikap setelah tribunal pertama fix ada yang disembunyikan,accusing
gw nuduh dia karena alibinya cuma ikut kata-kata orang lain,accusing
kalau lu bukan Hitman kenapa langsung panik waktu nama lu disebut,accusing
si S jelas sedang mengarahkan vote ke warga biasa,accusing
dia sengaja bikin chat panjang supaya poin pentingnya gak kelihatan,accusing
lu paling diuntungkan dari korban malam tadi jadi gw curiga ke lu,accusing
si T selalu membela pemain yang akhirnya terlihat mencurigakan,accusing
gw rasa yang pakai Gag Order tadi adalah orang yang takut ketahuan,accusing
si U terlalu fokus nyari Stalker sampai lupa bahas korban semalam,accusing
dia nuduh orang berdasarkan asumsi tapi gak pernah kasih observasi,accusing
lu bilang mau bantu warga tapi keputusan lu malah bikin kita rugi terus,accusing
si V paling aneh karena pendapatnya berubah setelah lihat hasil voting,accusing
gw curiga si W Hitman karena dia langsung ikut vote target yang sudah lemah,accusing
kalau bukan lu yang punya Gag Order kenapa lu tahu timingnya tepat banget,accusing
si X dari tadi cuma mengulang tuduhan orang lain supaya kelihatan ikut membantu,accusing
dari tadi lu paling ngotot nuduh orang tanpa bukti fix lu hitman,accusing
si A mendadak kena Gag Order pas mulai bongkar alibinya jadi dia sus banget,accusing
menurut gw si B hitman karena jawabannya muter terus dari awal diskusi,accusing
lu kenapa buru-buru banget ngajak vote si C? malah keliatan kayak nutupin diri sendiri,accusing
si D diem terus waktu ditanya soal malam tadi fix mencurigakan,accusing
gw curiga sama si E karena dia selalu ikut vote terakhir tanpa kasih alasan,accusing
Gag Order ke si F jelas banget buat membungkam orang yang hampir nemu hitman,accusing
si G dari tadi gonta-ganti tuduhan kayak lagi nyari kambing hitam,accusing
kayaknya si H hitman deh soalnya dia paling panik pas ada yang bahas korban,accusing
lu terlalu defensif bro santai dikit malah makin keliatan sus,accusing
si I tiba-tiba aktif setelah ada korban jatuh kemungkinan dia hitman,accusing
aku nuduh si J karena alibinya berubah dua kali dalam satu diskusi,accusing
si K yang kena Gag Order tadi mungkin punya info penting dan sengaja dibungkam,accusing
kalau bukan hitman kenapa lu terus menghindari pertanyaan soal pilihan vote,accusing
si L dari awal cuma nunggu orang lain nuduh lalu ikut arus banget,accusing
gw rasa si M pelakunya karena dia langsung mengalihkan topik setelah nama korban disebut,accusing
si N keliatan banget bikin fitnah lewat Gag Order tadi jangan sampai kita ketipu,accusing
lu bilang lihat kejadian malam tapi role lu apa sebenarnya? jangan-jangan hitman,accusing
si O paling mencurigakan karena tiap ditanya jawabnya pendek dan nggak nyambung,accusing
fix si P hitman dia sengaja bikin chat ramai biar analisis kita buyar,accusing
aku nggak percaya sama si Q karena tuduhannya selalu muncul setelah orang lain kasih petunjuk,accusing
si R mendadak membela pemain yang jelas mencurigakan berarti kemungkinan satu tim,accusing
bro si S kenapa langsung vote tanpa diskusi? kelakuan hitman banget,accusing
menurutku si T pelakunya karena dia tahu detail malam yang seharusnya nggak diketahui,accusing
Gag Order barusan terlalu pas waktunya si U pasti takut kebongkar,accusing
si V dari tadi nyari alasan buat ngegiring vote ke orang lain,accusing
lu ngaku civilian tapi kontribusinya cuma bikin keributan sus banget,accusing
si W punya pola aneh selalu online pas ada kejadian lalu menghilang saat ditanya,accusing
gw curiga berat sama si X karena dia nggak pernah kasih dugaan yang konsisten,accusing
si Y mungkin hitman dia sengaja diam sampai situasi aman buat dirinya,accusing
kalau si Z benar-benar warga kenapa malah membela orang yang kena tuduhan kuat,accusing
si A terlalu cepat menyimpulkan target malam tadi padahal informasinya terbatas,accusing
aku rasa hitmannya si B karena dia paling keras menolak semua teori,accusing
si C kelihatan gugup setelah Gag Order dipakai ke si D jangan-jangan dia dalangnya,accusing
lu dari tadi nyerang semua orang tanpa arah ini strategi hitman banget,accusing
si E cuma muncul buat ikut voting lalu hilang lagi mencurigakan parah,accusing
gw yakin si F pelakunya karena dia terus maksa kita eksekusi si G tanpa bukti jelas,accusing
si H ngomongnya berubah setelah korban ditemukan berarti dia sedang menyesuaikan alibi,accusing
jangan percaya si I dia sengaja bikin kita fokus ke role lain,accusing
si J kelihatan punya informasi lebih dari yang seharusnya fix hitman,accusing
menurut saya si K adalah pelaku karena seluruh argumennya hanya untuk membungkam diskusi,accusing
si L paling aneh ketika ditanya soal vote dia malah menyerang balik,accusing
lu bilang nggak tahu apa-apa tapi langsung tahu siapa yang harus dicurigai sus banget,accusing
si M kayaknya pakai Gag Order buat nutupin jejak sendiri,accusing
aku nuduh si N karena dia selalu membela hitman tanpa sadar,accusing
si O terlalu tenang setelah ada korban mungkin dia sudah tahu rencananya berhasil,accusing
gw rasa si P sengaja memecah kita supaya vote warga lain,accusing
si Q dari tadi cuma mengulang tuduhan orang lain tanpa observasi sendiri,accusing
Gag Order tadi membungkam pemain yang paling kritis jadi pelakunya kemungkinan si R,accusing
si S jelas mencurigakan karena dia menghindari semua pertanyaan tentang aksi malam,accusing
fix si T hitman dia baru aktif setelah semua orang mulai saling tuduh,accusing
kita jangan terpancing si U dia kelihatan sedang menggiring tribunal ke target yang salah,accusing
gw bukan hitman ya sumpah dari awal cuma bantu diskusi,defending
tuduhan lu ngaco banget aku civilian biasa,defending
jangan asal vote aku cuma karena tadi telat chat,defending
gue nggak punya skill serangan sama sekali cek aja pola main gue,defending
bukan gw yang hostage semalam jangan lempar kesalahan ke sini,defending
aku bukan hitman role-ku warga biasa dan nggak bisa ngapa-ngapain malam,defending
lu salah orang bro gw dari tadi konsisten nuduh yang mencurigakan,defending
santai dulu jangan langsung eksekusi aku cuma karena beda pendapat,defending
sumpah aku bukan sus yang kalian kira,defending
gw nggak pakai gag order itu skill hitman bukan punya gw,defending
kalau aku hitman kenapa dari tadi malah bantu cari pola,defending
tuduhan ini lemah banget cuma berdasarkan aku diem sebentar,defending
aku civilian dan tidak memiliki informasi role siapa pun,defending
jangan vote aku sebelum dengar penjelasan lengkapnya,defending
gw bukan pelaku semalam posisi gw cuma warga biasa,defending
dia nuduh gw buat ngalihin perhatian dari dirinya sendiri,defending
aku nggak pernah bilang punya info role orang karena memang bukan stalker,defending
kalau kalian eksekusi aku tim warga malah rugi besar,defending
gw yakin tuduhan ke aku sengaja dibangun biar hitman aman,defending
aku nggak bisa hostage siapa pun jadi jangan salah sasaran,defending
serius bukan aku yang bikin korban hilang semalam,defending
lu boleh curiga tapi jangan langsung anggap gw hitman,defending
gw cuma salah baca situasi bukan berarti role gw jahat,defending
aku tetap terbuka untuk ditanya tapi tuduhannya harus ada dasar,defending
bukan saya pelakunya saya hanya civilian tanpa kemampuan malam,defending
jangan termakan fitnah dia dari tadi cuma nyari kambing hitam,defending
gw nggak kena gag order kok jadi bisa jelasin semuanya sekarang,defending
kalau aku hitman harusnya aku nggak akan sejelas ini membela diri,defending
tadi aku diam karena lagi baca chat bukan karena menyusun alibi,defending
role aku bukan spy maupun hitman jadi jangan berharap aku punya bukti malam,defending
aku tidak menyerang siapa pun dan tidak tahu target malam tadi,defending
fix tuduhan ke gw cuma asumsi tanpa bukti konkret,defending
sumpah demi tim warga gw bukan orang jahat di ronde ini,defending
lu salah analisis gw dari gaya chat doang,defending
aku nggak punya alasan buat menghilangkan pemain lain,defending
gw cuma ikut vote berdasarkan informasi yang ada bukan karena kerja sama hitman,defending
tolong jangan eksekusi aku hanya karena aku berbeda pilihan vote,defending
dia sengaja memelintir ucapan gw supaya aku terlihat mencurigakan,defending
aku bisa jelaskan semua tindakan tadi karena tidak ada yang kusembunyikan,defending
gw bukan stalker jadi wajar kalau nggak punya hasil peek,defending
jangan paksa gw mengaku sesuatu yang memang nggak gw lakukan,defending
aku tidak memakai skill apa pun malam ini karena role-ku civilian,defending
kalau mau cari hitman lihat pemain yang paling sering mengalihkan isu,defending
gw udah konsisten dari awal dan nggak pernah ganti cerita,defending
bukti terhadap aku cuma karena telat balas chat itu nggak cukup,defending
aku membela diri karena tuduhan ini bisa bikin warga salah eksekusi,defending
lu boleh curiga tapi cek dulu siapa yang paling diuntungkan dari vote ini,defending
gw bukan ancaman buat tim dan nggak punya akses ke aksi malam,defending
serius aku cuma pemain biasa yang berusaha bantu menemukan hitman,defending
jangan percaya dia mentah-mentah karena pembelaan gw ada alasannya,defending
aku menolak tuduhan itu karena semua faktanya tidak cocok dengan role-ku,defending
sumpah bukan gw hitman ya dari tadi gw cuma ikut diskusi,defending
gw civilian biasa jangan asal vote cuma gara-gara gw diem,defending
bukan aku pelakunya aku nggak punya aksi malam sama sekali,defending
lu salah nuduh gw coba cek alibi pemain lain dulu,defending
fix bukan gue hitman kalau gue jahat harusnya ada korban semalam,defending
gw bukan target yang mencurigakan cuma lagi baca situasi,defending
jangan eksekusi aku dulu tuduhan kalian belum ada buktinya,defending
aku Stalker dan semalam sudah Peek satu pemain hasilnya bukan aku yang jahat,defending
gw Spy bukan Hitman jangan buang vote ke orang yang salah,defending
aku cuma Civilian dan nggak bisa melakukan apa pun saat malam,defending
tuduhan itu ngawur gw bahkan nggak pakai skill malam,defending
kalian jangan termakan fitnah dia bisa saja sedang pakai Gag Order,defending
gw nggak gagap atau menghindar cuma chat gw tadi kemungkinan kena Gag Order,defending
bukan aku yang nyandera korban semalam cek pola votingnya dulu,defending
kalau aku Hitman kenapa dari ronde awal terus bantu cari pelaku,defending
gw tetap konsisten dari awal jadi jangan paksa eksekusi tanpa alasan,defending
sumpah alibi gw jelas semalam gw nggak punya tindakan,defending
yang nuduh gw malah lebih mencurigakan karena langsung mengarahkan vote,defending
aku menolak tuduhan itu karena tidak ada bukti yang menghubungkan saya dengan korban,defending
tolong jangan asal voting aku hanya karena gaya chatku santai,defending
gw bukan Hitman dan nggak pernah pakai Gag Order ke siapa pun,defending
lu bisa cek ucapan gw dari ronde pertama semuanya masih nyambung,defending
aku Spy dan tadi malam sudah Guard seseorang jadi bukan penyerang,defending
jangan salah paham aku diam karena sedang menunggu informasi dari Stalker,defending
gw nggak kabur dari pertanyaan cuma lagi kena mute mendadak,defending
kalau aku jahat harusnya aku nggak akan terang-terangan membela korban,defending
tuduhan ke aku terlalu cepat mari bahas aksi malamnya dulu,defending
bukan saya pelakunya saya justru sudah memberi petunjuk tentang pemain mencurigakan,defending
aku tidak memiliki kemampuan menyerang atau menyandera jadi jelas bukan Hitman,defending
gw cuma warga biasa jangan bikin tim kita rugi gara-gara salah vote,defending
dia nuduh gw tanpa dasar padahal jawabannya sendiri berubah-ubah,defending
saya tidak berbohong posisi saya tetap Civilian sejak awal permainan,defending
jangan percaya provokasi itu bisa jadi Hitman sedang mengalihkan perhatian,defending
gw aman kok bukan berarti gw jahat mungkin saja aku cuma belum punya info,defending
aku tidak bisa membuktikan semuanya tapi tuduhan terhadapku juga belum kuat,defending
